Employee ID,Name,Department,Job Title,Manager,Date of Joining,Employment Type,Performance Rating,Goal Achievement (%),Productivity Score,Peer Review Score,Learning Score,Attendance Rate (%),Punctuality (%),Satisfaction Score,Promotions,Recognition,Performance Plan,Disciplinary Action,360 Feedback Summary,Monthly Rating,Quarterly Rating,Annual Rating,KPI Achievement (%),Course Completions,Skill Assessment Score,Absenteeism Rate (%),Role Changes,Appraisal Comments,Training Recommendations,Historical Ratings Avg
E0031,Reyansh Agarwal,Engineering,Software Engineer,Manager 3,2018-02-24,Contract,2.76,103,99.51,4.68,56.82,89.55,82.71,3.12,1,Team Star,Coaching,None,Excellent team player and communicator,2.84,4.62,2.03,57,4,93.75,9.97,2,Meets most performance goals,None,3.32
E0032,Reyansh Reddy,Marketing,Financial Analyst,Manager 2,2022-05-31,Contract,3.55,75,86.08,2.61,48.78,79.94,84.84,3.7,0,Spot Award,None,None,Needs improvement in meeting deadlines,4.78,4.02,4.85,62,2,79.8,14.36,1,Consistently exceeds expectations,Advanced Excel Training,2.72
E0033,Diya Agarwal,HR,Financial Analyst,Manager 8,2023-04-21,Contract,2.88,92,88.13,3.58,87.03,89.34,97.36,1.51,2,Employee of the Month,None,Warning,Excellent team player and communicator,2.17,4.81,4.67,108,8,74.41,1.81,1,Requires performance monitoring,None,2.19
E0034,Krishna Gupta,Finance,Financial Analyst,Manager 2,2018-02-18,Full-time,4.58,79,87.19,4.32,54.63,73.21,95.09,1.79,0,None,Mentoring,Terminated,Requires guidance in cross-functional tasks,3.85,4.97,4.78,59,10,85.05,4.71,0,Requires performance monitoring,Advanced Excel Training,2.28
E0035,Ishaan Jain,Sales,Software Engineer,Manager 1,2019-01-25,Full-time,2.9,110,96.74,2.75,45.11,98.6,84.81,3.15,2,None,None,Terminated,Proactive and reliable,2.8,4.33,4.44,66,10,80.65,7.69,2,Meets most performance goals,Time Management Workshop,4.39
E0036,Arjun Mehta,Sales,Sales Executive,Manager 2,2021-04-27,Contract,3.49,80,69.97,4.88,63.34,89.72,83.67,1.63,0,Team Star,Mentoring,Terminated,Strong leadership potential,4.76,4.28,3.33,95,7,53.41,0.43,0,Consistently exceeds expectations,None,4.41
E0037,Aarav Chopra,Engineering,Financial Analyst,Manager 5,2019-07-21,Contract,3.14,81,72.68,3.53,46.18,94.6,97.81,3.12,3,Spot Award,Mentoring,None,Proactive and reliable,4.17,3.06,3.01,78,10,72.25,8.28,2,Requires performance monitoring,Time Management Workshop,3.18
E0038,Aditya Chopra,Sales,Marketing Manager,Manager 1,2018-04-10,Contract,4.81,75,89.72,3.89,79.97,89.61,95.76,1.56,1,Team Star,Coaching,Terminated,Needs improvement in meeting deadlines,4.02,2.12,4.24,78,9,83.06,6.25,3,Outstanding client feedback,None,2.19
E0039,Anika Sharma,HR,Software Engineer,Manager 5,2021-01-02,Full-time,3.86,77,72.63,3.19,40.81,85.0,88.93,3.5,2,Team Star,None,None,Needs improvement in meeting deadlines,3.82,2.44,3.89,56,8,88.5,5.19,0,Consistently exceeds expectations,Time Management Workshop,3.41
E0040,Avni Patel,Engineering,Marketing Manager,Manager 6,2022-02-18,Contract,3.85,89,98.04,2.45,36.42,81.04,85.33,2.61,2,Team Star,None,None,Requires guidance in cross-functional tasks,4.49,2.68,4.8,56,2,97.14,1.28,1,Requires performance monitoring,Advanced Excel Training,2.11
E0041,Saanvi Sharma,Engineering,Marketing Manager,Manager 2,2020-02-24,Contract,3.58,72,68.78,2.63,68.78,72.31,86.21,3.5,3,None,Coaching,Terminated,Requires guidance in cross-functional tasks,4.62,2.42,2.28,61,1,77.81,13.48,4,Consistently exceeds expectations,None,2.59
E0042,Ayaan Patel,Engineering,Sales Executive,Manager 2,2019-01-04,Contract,2.76,82,62.79,3.91,59.39,79.43,85.88,4.32,1,Team Star,PIP,Probation,Excellent team player and communicator,4.1,3.43,2.03,108,8,64.98,11.39,3,Outstanding client feedback,Leadership Program,4.05
E0043,Sai Gupta,Engineering,Sales Executive,Manager 10,2021-04-30,Full-time,4.18,103,99.55,2.97,48.93,89.03,81.85,3.07,3,Spot Award,Mentoring,Warning,Requires guidance in cross-functional tasks,2.96,3.88,3.85,86,10,56.12,4.72,0,Outstanding client feedback,Technical Certification,2.81
E0044,Aditya Patel,HR,Software Engineer,Manager 9,2019-06-22,Contract,4.09,89,74.38,2.52,74.28,77.71,79.63,2.83,0,Team Star,Coaching,Warning,Strong leadership potential,4.14,3.85,2.43,87,6,61.86,12.09,2,Outstanding client feedback,None,3.48
E0045,Siya Agarwal,Engineering,HR Specialist,Manager 7,2021-12-08,Contract,3.17,95,83.56,4.33,68.37,79.27,96.17,1.35,1,Employee of the Month,None,None,Excellent team player and communicator,3.01,3.75,4.0,84,2,78.71,14.09,1,Meets most performance goals,Leadership Program,4.79
E0046,Vivaan Patel,Finance,Software Engineer,Manager 5,2020-03-06,Contract,3.97,62,68.97,3.02,86.87,72.36,89.04,3.72,0,Spot Award,Coaching,None,Needs improvement in meeting deadlines,2.47,4.1,4.53,85,3,75.99,10.24,4,Meets most performance goals,Advanced Excel Training,4.54
E0047,Reyansh Agarwal,Engineering,Marketing Manager,Manager 6,2020-02-03,Full-time,3.63,90,81.65,3.13,11.48,70.18,82.49,1.69,1,None,Mentoring,Probation,Needs improvement in meeting deadlines,2.28,3.3,4.28,52,0,59.59,14.37,0,Outstanding client feedback,None,4.86
E0048,Anika Kapoor,Marketing,Software Engineer,Manager 7,2020-06-08,Contract,1.38,61,88.02,2.98,98.08,85.25,93.19,1.29,3,Team Star,Mentoring,Warning,Requires guidance in cross-functional tasks,3.99,3.16,2.11,105,9,95.89,6.07,1,Consistently exceeds expectations,Time Management Workshop,2.44
E0049,Vivaan Patel,Finance,Software Engineer,Manager 1,2018-11-24,Contract,2.23,68,83.39,4.91,44.71,90.45,91.73,1.74,3,None,Mentoring,Terminated,Strong leadership potential,3.68,4.29,2.6,59,8,71.76,12.14,2,Consistently exceeds expectations,Technical Certification,2.73
E0050,Saanvi Jain,Marketing,Marketing Manager,Manager 5,2022-05-30,Full-time,2.39,91,88.28,4.82,8.16,86.66,80.09,4.77,1,Team Star,PIP,Warning,Proactive and reliable,3.66,2.49,2.85,89,8,80.33,3.22,1,Meets most performance goals,Advanced Excel Training,3.87
